benchmark,tipo_varredura,alpha_int,alpha,gamma_int,gamma,epsilon,lru_hits,lru_misses,lru_hitrate,ql_hits,ql_misses,ql_hitrate,ganho_pp
Streaming sequencial,gamma,100,0.100,0,0.000,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,gamma,100,0.100,300,0.300,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,gamma,100,0.100,500,0.500,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,gamma,100,0.100,700,0.700,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,gamma,100,0.100,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,alpha,50,0.050,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,alpha,100,0.100,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,alpha,200,0.200,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,alpha,500,0.500,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,epsilon,100,0.100,900,0.900,0,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,epsilon,100,0.100,900,0.900,5,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,epsilon,100,0.100,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Streaming sequencial,epsilon,100,0.100,900,0.900,20,0,512,0.00,0,512,0.00,0.00
Hotset pequeno,gamma,100,0.100,0,0.000,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,gamma,100,0.100,300,0.300,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,gamma,100,0.100,500,0.500,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,gamma,100,0.100,700,0.700,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,gamma,100,0.100,900,0.900,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,alpha,50,0.050,900,0.900,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,alpha,100,0.100,900,0.900,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,alpha,200,0.200,900,0.900,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,alpha,500,0.500,900,0.900,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,epsilon,100,0.100,900,0.900,0,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,epsilon,100,0.100,900,0.900,5,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,epsilon,100,0.100,900,0.900,10,508,4,99.22,508,4,99.22,0.00
Hotset pequeno,epsilon,100,0.100,900,0.900,20,508,4,99.22,508,4,99.22,0.00
Conflito forte L1,gamma,100,0.100,0,0.000,10,0,512,0.00,168,344,32.81,32.81
Conflito forte L1,gamma,100,0.100,300,0.300,10,0,512,0.00,168,344,32.81,32.81
Conflito forte L1,gamma,100,0.100,500,0.500,10,0,512,0.00,169,343,33.01,33.01
Conflito forte L1,gamma,100,0.100,700,0.700,10,0,512,0.00,169,343,33.01,33.01
Conflito forte L1,gamma,100,0.100,900,0.900,10,0,512,0.00,162,350,31.64,31.64
Conflito forte L1,alpha,50,0.050,900,0.900,10,0,512,0.00,168,344,32.81,32.81
Conflito forte L1,alpha,100,0.100,900,0.900,10,0,512,0.00,162,350,31.64,31.64
Conflito forte L1,alpha,200,0.200,900,0.900,10,0,512,0.00,168,344,32.81,32.81
Conflito forte L1,alpha,500,0.500,900,0.900,10,0,512,0.00,170,342,33.20,33.20
Conflito forte L1,epsilon,100,0.100,900,0.900,0,0,512,0.00,168,344,32.81,32.81
Conflito forte L1,epsilon,100,0.100,900,0.900,5,0,512,0.00,168,344,32.81,32.81
Conflito forte L1,epsilon,100,0.100,900,0.900,10,0,512,0.00,162,350,31.64,31.64
Conflito forte L1,epsilon,100,0.100,900,0.900,20,0,512,0.00,167,345,32.62,32.62
Reuso com interferencia,gamma,100,0.100,0,0.000,10,316,196,61.72,353,159,68.95,7.23
Reuso com interferencia,gamma,100,0.100,300,0.300,10,316,196,61.72,353,159,68.95,7.23
Reuso com interferencia,gamma,100,0.100,500,0.500,10,316,196,61.72,353,159,68.95,7.23
Reuso com interferencia,gamma,100,0.100,700,0.700,10,316,196,61.72,352,160,68.75,7.03
Reuso com interferencia,gamma,100,0.100,900,0.900,10,316,196,61.72,352,160,68.75,7.03
Reuso com interferencia,alpha,50,0.050,900,0.900,10,316,196,61.72,353,159,68.95,7.23
Reuso com interferencia,alpha,100,0.100,900,0.900,10,316,196,61.72,352,160,68.75,7.03
Reuso com interferencia,alpha,200,0.200,900,0.900,10,316,196,61.72,352,160,68.75,7.03
Reuso com interferencia,alpha,500,0.500,900,0.900,10,316,196,61.72,348,164,67.97,6.25
Reuso com interferencia,epsilon,100,0.100,900,0.900,0,316,196,61.72,361,151,70.51,8.79
Reuso com interferencia,epsilon,100,0.100,900,0.900,5,316,196,61.72,360,152,70.31,8.59
Reuso com interferencia,epsilon,100,0.100,900,0.900,10,316,196,61.72,352,160,68.75,7.03
Reuso com interferencia,epsilon,100,0.100,900,0.900,20,316,196,61.72,346,166,67.58,5.86
Misto maior,gamma,100,0.100,0,0.000,10,282,230,55.08,310,202,60.55,5.47
Misto maior,gamma,100,0.100,300,0.300,10,282,230,55.08,308,204,60.16,5.08
Misto maior,gamma,100,0.100,500,0.500,10,282,230,55.08,309,203,60.35,5.27
Misto maior,gamma,100,0.100,700,0.700,10,282,230,55.08,313,199,61.13,6.05
Misto maior,gamma,100,0.100,900,0.900,10,282,230,55.08,304,208,59.38,4.30
Misto maior,alpha,50,0.050,900,0.900,10,282,230,55.08,306,206,59.77,4.69
Misto maior,alpha,100,0.100,900,0.900,10,282,230,55.08,304,208,59.38,4.30
Misto maior,alpha,200,0.200,900,0.900,10,282,230,55.08,313,199,61.13,6.05
Misto maior,alpha,500,0.500,900,0.900,10,282,230,55.08,311,201,60.74,5.66
Misto maior,epsilon,100,0.100,900,0.900,0,282,230,55.08,322,190,62.89,7.81
Misto maior,epsilon,100,0.100,900,0.900,5,282,230,55.08,319,193,62.30,7.23
Misto maior,epsilon,100,0.100,900,0.900,10,282,230,55.08,304,208,59.38,4.30
Misto maior,epsilon,100,0.100,900,0.900,20,282,230,55.08,308,204,60.16,5.08
Linked List simulada,gamma,100,0.100,0,0.000,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,gamma,100,0.100,300,0.300,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,gamma,100,0.100,500,0.500,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,gamma,100,0.100,700,0.700,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,gamma,100,0.100,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,alpha,50,0.050,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,alpha,100,0.100,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,alpha,200,0.200,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,alpha,500,0.500,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,epsilon,100,0.100,900,0.900,0,0,512,0.00,0,512,0.00,0.00
Linked List simulada,epsilon,100,0.100,900,0.900,5,0,512,0.00,0,512,0.00,0.00
Linked List simulada,epsilon,100,0.100,900,0.900,10,0,512,0.00,0,512,0.00,0.00
Linked List simulada,epsilon,100,0.100,900,0.900,20,0,512,0.00,0,512,0.00,0.00
